station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41660,Lake/State,07/01/2001,"14,398.1","6,785","4,893.8","358,863"
41090,Monroe/State,07/01/2001,"7,999.3","3,529.5","2,575.7","197,558"
40560,Jackson/State,07/01/2001,"11,982.9","5,526.8","5,240.5","305,191"
40370,Washington/Dearborn,07/01/2001,"9,897.6","3,266.5","2,236.8","234,336"
40790,Monroe/Dearborn,07/01/2001,"6,121","1,711.5","1,321.7","143,318"
40070,Jackson/Dearborn,07/01/2001,"8,275.2","3,630.5","3,955.3","212,034"
40730,Washington/Wells,07/01/2001,"7,373.7","1,047.5",455.5,"161,771"
40040,Quincy/Wells,07/01/2001,"8,047.8","1,174.5",843.3,"178,762"
40160,LaSalle/Van Buren,07/01/2001,"3,519.2",339,196.5,"76,439"
40850,Library,07/01/2001,"2,654.2","1,186.8","1,028.7","66,657"
40680,Adams/Wabash,07/01/2001,"8,242.8","4,229.8","4,978.5","219,889"
40260,State/Lake,07/01/2001,"8,923.5","4,674","3,553.2","227,409"
40380,Clark/Lake,07/01/2001,"16,558.1","3,231.5","2,517.5","375,752"
41660,Lake/State,08/01/2001,"13,945.2","6,358.3","4,897","365,761"
41090,Monroe/State,08/01/2001,"7,612.7","2,764.8","1,905","193,770"
40560,Jackson/State,08/01/2001,"10,849.2","3,777.3","2,664","275,297"
40370,Washington/Dearborn,08/01/2001,"9,387.7","2,662.8","1,915","234,229"
40790,Monroe/Dearborn,08/01/2001,"5,667.3","1,083.3",877.5,"138,190"
40070,Jackson/Dearborn,08/01/2001,"7,109.1","2,137.5","1,669.8","178,738"
40730,Washington/Wells,08/01/2001,"7,053.8",742.8,470.5,"167,091"
40040,Quincy/Wells,08/01/2001,"7,902.5","1,224.8",855.8,"190,079"
40160,LaSalle/Van Buren,08/01/2001,"3,424.1",323.5,186.8,"80,795"
40850,Library,08/01/2001,"2,251.7",707,492.3,"56,585"
40680,Adams/Wabash,08/01/2001,"7,021","2,472.8","1,805.8","178,596"
40260,State/Lake,08/01/2001,"8,619.2","4,291","3,753.8","230,420"
40380,Clark/Lake,08/01/2001,"15,972.9","2,908.3","2,511.3","389,054"
41660,Lake/State,09/01/2001,"14,063.2","6,518.6","4,356.7","325,934"
41090,Monroe/State,09/01/2001,"7,582.1","3,328.2","2,062.7","173,077"
40560,Jackson/State,09/01/2001,"12,173.7","4,270","2,493.5","267,612"
40370,Washington/Dearborn,09/01/2001,"9,256.8","2,778","1,574.2","199,215"
40790,Monroe/Dearborn,09/01/2001,"5,886.9","1,338.8",873.2,"123,784"
40070,Jackson/Dearborn,09/01/2001,"7,454.4","2,219.2","1,395.5","161,102"
40730,Washington/Wells,09/01/2001,"7,110.3",758.2,392,"141,238"
40040,Quincy/Wells,09/01/2001,"7,729.1","1,076.6",748.2,"156,724"
40160,LaSalle/Van Buren,09/01/2001,"3,240.8",331.6,179,"64,308"
40850,Library,09/01/2001,"2,416.1",835,397.7,"52,466"
40680,Adams/Wabash,09/01/2001,"7,666.6","3,136.8","1,739.2","171,785"
40260,State/Lake,09/01/2001,"8,981.4","4,417","3,113.2","211,410"
40380,Clark/Lake,09/01/2001,"15,425.2","2,827.8","1,978.3","319,088"
41660,Lake/State,10/01/2001,"13,483.1","6,119.5","4,644.3","353,166"
41090,Monroe/State,10/01/2001,"7,538.9","3,218.8","2,527.8","196,381"
40560,Jackson/State,10/01/2001,"12,393.3","4,556.8","4,432.5","321,002"
40370,Washington/Dearborn,10/01/2001,"9,470.1","2,850.3","1,852","236,621"
40790,Monroe/Dearborn,10/01/2001,"5,993.7","1,356.3",970.5,"147,162"
40070,Jackson/Dearborn,10/01/2001,"7,744","2,166","1,860.3","194,218"
40730,Washington/Wells,10/01/2001,"7,162.5",179,93.8,"165,829"
40040,Quincy/Wells,10/01/2001,"7,834.6",193.8,158,"181,603"
40160,LaSalle/Van Buren,10/01/2001,"3,372.6",62,35.5,"77,960"
40850,Library,10/01/2001,"2,760",192.5,111.8,"64,697"
40680,Adams/Wabash,10/01/2001,"7,985.3","3,469.5","2,925.3","209,242"
40260,State/Lake,10/01/2001,"8,955.9","4,252.8","3,255.5","236,018"
40380,Clark/Lake,10/01/2001,"15,673.3","3,131.5","2,451.5","382,817"
41660,Lake/State,11/01/2001,"13,341.8","6,876","4,059.2","327,978"
41090,Monroe/State,11/01/2001,"7,391.4","3,373.5","1,693.2","177,179"
40560,Jackson/State,11/01/2001,"11,552","4,293.3","2,200.6","270,767"
40370,Washington/Dearborn,11/01/2001,"9,349.5","3,468.3","1,908.6","219,755"
40790,Monroe/Dearborn,11/01/2001,"5,798.4","1,332.5",860,"131,396"
40070,Jackson/Dearborn,11/01/2001,"7,248.1","2,072.5","1,336.2","167,182"
40730,Washington/Wells,11/01/2001,"6,883.6",744.5,392,"149,493"
40040,Quincy/Wells,11/01/2001,"7,350.9",984,639,"161,499"
40160,LaSalle/Van Buren,11/01/2001,"3,201.4",278,155.8,"69,121"
40850,Library,11/01/2001,"2,539.9",806.5,447,"58,799"
40680,Adams/Wabash,11/01/2001,"7,350","2,908","1,667.8","174,322"
40260,State/Lake,11/01/2001,"8,541.7","4,904","2,800.6","212,994"
40380,Clark/Lake,11/01/2001,"14,946.1","3,214","1,871.2","336,080"
41660,Lake/State,12/01/2001,"12,324.5","6,385.4","3,816.7","301,317"
41090,Monroe/State,12/01/2001,"6,947.6","3,153.2","1,639.3","164,554"
40560,Jackson/State,12/01/2001,"9,415.1","3,609.4","1,858.5","217,500"
40370,Washington/Dearborn,12/01/2001,"8,979.7","3,764","1,962.8","210,191"
40790,Monroe/Dearborn,12/01/2001,"5,229.1","1,255",669.8,"114,875"
40070,Jackson/Dearborn,12/01/2001,"5,978.4","1,806.4","1,009.2","134,654"
40730,Washington/Wells,12/01/2001,"6,101.5",699,313.3,"127,405"
40040,Quincy/Wells,12/01/2001,"6,484.3",819.2,496.3,"136,760"
40160,LaSalle/Van Buren,12/01/2001,"2,910.6",261.4,132.3,"60,313"
40850,Library,12/01/2001,"1,977.7",674.6,326,"44,882"
40680,Adams/Wabash,12/01/2001,"6,066.5","2,448.6","1,239.8","141,011"
40260,State/Lake,12/01/2001,"7,616.6","4,270.8","2,638.7","189,517"
40380,Clark/Lake,12/01/2001,"13,428.6","2,723.4","1,585","291,698"
41660,Lake/State,01/01/2002,"13,104.5","5,616.5","3,502.4","328,276"
41090,Monroe/State,01/01/2002,"7,087.8","2,668.8","1,436.8","173,791"
40560,Jackson/State,01/01/2002,"11,688.7","3,651.8","1,832.8","280,923"
40370,Washington/Dearborn,01/01/2002,"8,885.8","2,412.3","1,329.4","211,783"
40790,Monroe/Dearborn,01/01/2002,"5,588.5","1,103.8",645,"130,588"
40070,Jackson/Dearborn,01/01/2002,"6,870.7","1,747.5",931.8,"162,804"
40730,Washington/Wells,01/01/2002,"7,170.2",742.5,318.8,"162,309"
40040,Quincy/Wells,01/01/2002,"7,626.8",874,527.2,"173,921"
40160,LaSalle/Van Buren,01/01/2002,"3,308.6",266.3,128,"74,494"
40850,Library,01/01/2002,"2,382",752,324,"57,032"
40680,Adams/Wabash,01/01/2002,"7,028.6","2,434","1,240.6","170,569"
40260,State/Lake,01/01/2002,"8,086.4","3,763.3","2,401","204,958"
40380,Clark/Lake,01/01/2002,"14,700.2","2,454.8","1,426","340,353"
41660,Lake/State,02/01/2002,"13,562.3","6,708.8","4,329.8","315,399"
41090,Monroe/State,02/01/2002,"7,300.2","2,936","1,645.5","164,330"
40560,Jackson/State,02/01/2002,"11,939.7","4,007","2,166","263,486"
40370,Washington/Dearborn,02/01/2002,"9,026.7","2,752.8","1,492.3","197,513"
40790,Monroe/Dearborn,02/01/2002,"5,791.3","1,232",715.8,"123,617"
40070,Jackson/Dearborn,02/01/2002,"7,058.7","1,878","1,007.3","152,715"
40730,Washington/Wells,02/01/2002,"7,023",819.5,391.8,"145,305"
40040,Quincy/Wells,02/01/2002,"7,440.3",990,615.3,"155,227"
40160,LaSalle/Van Buren,02/01/2002,"3,272.8",286.8,143.3,"67,176"
40850,Library,02/01/2002,"2,480.2",805,377.3,"54,332"
40680,Adams/Wabash,02/01/2002,"7,097.6","2,631.5","1,280","157,598"
40260,State/Lake,02/01/2002,"8,214.6","4,213.8","2,853","192,559"
40380,Clark/Lake,02/01/2002,"14,658.2","2,609.3","1,674.5","310,298"
41660,Lake/State,03/01/2002,"13,413.9","6,847.2","4,167","336,762"
41090,Monroe/State,03/01/2002,"7,292.9","3,143.4","1,525","176,492"
40560,Jackson/State,03/01/2002,"11,273.3","4,203","2,095.4","268,232"
40370,Washington/Dearborn,03/01/2002,"9,024.3","2,808.8","1,356","210,334"
40790,Monroe/Dearborn,03/01/2002,"5,784.4","1,403.6",720.6,"132,093"
40070,Jackson/Dearborn,03/01/2002,"6,949","2,194.2","1,040.8","162,103"
40730,Washington/Wells,03/01/2002,"6,898.5",822.6,379.2,"150,878"
40040,Quincy/Wells,03/01/2002,"7,384.3","1,050.2",691.6,"163,780"
40160,LaSalle/Van Buren,03/01/2002,"3,195.5",328.8,238.8,"69,944"
40850,Library,03/01/2002,"2,406.9",860.8,388.8,"56,793"
40680,Adams/Wabash,03/01/2002,"6,920.7","2,948.4","1,260.2","166,377"
40260,State/Lake,03/01/2002,"8,168.7","4,459.8","2,735.6","207,519"
40380,Clark/Lake,03/01/2002,"14,799.7","2,765.6","1,658","332,912"
41660,Lake/State,04/01/2002,"14,163.5","7,214","4,562.3","358,701"
41090,Monroe/State,04/01/2002,"7,532.6","3,156.8","1,701.8","185,152"
40560,Jackson/State,04/01/2002,"12,357.4","4,279.5","2,328.3","298,293"
40370,Washington/Dearborn,04/01/2002,"9,314","2,711.3","1,488.3","221,706"
40790,Monroe/Dearborn,04/01/2002,"5,801.5","1,247.8",804.3,"135,841"
40070,Jackson/Dearborn,04/01/2002,"7,271","1,979.8","1,129.3","172,398"
40730,Washington/Wells,04/01/2002,"7,081",776.5,426,"160,593"
40040,Quincy/Wells,04/01/2002,"7,606.2","1,082.3",686,"174,409"
40160,LaSalle/Van Buren,04/01/2002,"3,240.2",286.5,156.3,"73,055"
40850,Library,04/01/2002,"2,584.3",888.3,419.8,"62,087"
40680,Adams/Wabash,04/01/2002,"7,323.4","2,632.5","1,391.5","177,211"
40260,State/Lake,04/01/2002,"8,597.2","4,546.5","3,180.3","220,046"
40380,Clark/Lake,04/01/2002,"15,121.6","2,736","1,817.8","350,891"
41660,Lake/State,05/01/2002,"13,763.3","6,887.3","4,671.4","353,698"
41090,Monroe/State,05/01/2002,"7,347.8","2,945.3","1,713.2","181,999"
40560,Jackson/State,05/01/2002,"11,720.7","3,927.8","2,302","285,076"
40370,Washington/Dearborn,05/01/2002,"9,335.9","2,607.3","1,586.6","223,751"
40790,Monroe/Dearborn,05/01/2002,"5,702.1","1,254.3",739,"134,159"
40070,Jackson/Dearborn,05/01/2002,"7,112.3","2,056.3","1,191.8","170,655"
40730,Washington/Wells,05/01/2002,"7,046.2",654.8,373.4,"159,503"
40040,Quincy/Wells,05/01/2002,"7,562.6",887,674,"173,295"
40160,LaSalle/Van Buren,05/01/2002,"3,161.5",248.3,151.4,"71,303"
40850,Library,05/01/2002,"2,422.6",709.5,350.6,"57,889"
40680,Adams/Wabash,05/01/2002,"7,098.9","2,478","1,365.2","172,914"
40260,State/Lake,05/01/2002,"8,383.5","4,324.5","3,369","218,581"
40380,Clark/Lake,05/01/2002,"15,086.8","2,699.8","1,971.8","352,567"
41660,Lake/State,06/01/2002,"14,218.9","7,546.4","5,448.8","349,354"
